Trust,TrustInScience,TrustInEdScience,Topic,Source,Consistency,lfdn,weight0
3,4,4,Retention,Episodic Evidence,Consistent,211,0.925
4,4,4,Integration,Scientific Study,Consistent,211,0.925
4,4,4,Integration,Scientific Study,Inconsistent,212,1.101
3,4,4,Grades,Episodic Evidence,Consistent,212,1.101
1,5,3,Signalling,Episodic Evidence,Inconsistent,214,0.842
5,5,3,Integration,Scientific Study,Consistent,214,0.842
4,4,4,Signalling,Episodic Evidence,Consistent,216,1.209
3,4,4,Grades,Scientific Study,Inconsistent,216,1.209
2,4,3,Retention,Episodic Evidence,Inconsistent,218,1.431
4,4,3,Grades,Scientific Study,Inconsistent,218,1.431
3,3,3,Integration,Scientific Study,Consistent,219,0.851
2,3,3,Retention,Episodic Evidence,Consistent,219,0.851
1,5,4,Signalling,Episodic Evidence,Inconsistent,220,1.101
4,5,4,Integration,Scientific Study,Consistent,220,1.101
3,4,2,Integration,Episodic Evidence,Inconsistent,221,0.782
3,4,2,Retention,Scientific Study,Inconsistent,221,0.782
NA,4,4,Integration,Episodic Evidence,Consistent,222,1.101
NA,4,4,Retention,Scientific Study,Consistent,222,1.101
3,4,4,Retention,Scientific Study,Inconsistent,223,0.842
1,4,4,Signalling,Episodic Evidence,Inconsistent,223,0.842
4,4,4,Retention,Episodic Evidence,Consistent,224,1.209
4,4,4,Signalling,Scientific Study,Consistent,224,1.209
2,3,3,Retention,Scientific Study,Inconsistent,225,1.421
3,3,3,Signalling,Episodic Evidence,Inconsistent,225,1.421
4,4,4,Signalling,Scientific Study,Consistent,227,2.176
3,4,4,Grades,Episodic Evidence,Inconsistent,227,2.176
3,3,3,Retention,Episodic Evidence,Inconsistent,228,0.651
4,3,3,Integration,Scientific Study,Inconsistent,228,0.651
3,4,3,Integration,Scientific Study,Inconsistent,229,1.504
4,4,3,Grades,Episodic Evidence,Consistent,229,1.504
5,4,4,Integration,Scientific Study,Consistent,230,1.16
4,4,4,Signalling,Episodic Evidence,Inconsistent,230,1.16
4,5,4,Retention,Scientific Study,Inconsistent,231,0.871
2,5,4,Grades,Episodic Evidence,Inconsistent,231,0.871
3,3,4,Grades,Episodic Evidence,Consistent,233,1.209
4,3,4,Retention,Scientific Study,Consistent,233,1.209
4,4,4,Integration,Scientific Study,Consistent,235,0.779
2,4,4,Grades,Episodic Evidence,Inconsistent,235,0.779
NA,4,2,Retention,Scientific Study,Consistent,237,1.205
1,4,2,Grades,Episodic Evidence,Consistent,237,1.205
1,4,3,Signalling,Episodic Evidence,Inconsistent,238,1.209
3,4,3,Retention,Scientific Study,Inconsistent,238,1.209
4,4,4,Retention,Scientific Study,Consistent,240,0.744
4,4,4,Grades,Episodic Evidence,Consistent,240,0.744
4,5,5,Signalling,Scientific Study,Consistent,241,1.101
2,5,5,Integration,Episodic Evidence,Inconsistent,241,1.101
5,4,4,Retention,Scientific Study,Consistent,242,0.55
4,4,4,Integration,Episodic Evidence,Consistent,242,0.55
4,4,3,Signalling,Scientific Study,Inconsistent,244,0.842
3,4,3,Retention,Episodic Evidence,Inconsistent,244,0.842
3,4,4,Integration,Episodic Evidence,Consistent,245,1.209
4,4,4,Retention,Scientific Study,Consistent,245,1.209
NA,4,3,Retention,Episodic Evidence,Consistent,246,1.101
NA,4,3,Integration,Scientific Study,Consistent,246,1.101
3,3,3,Signalling,Scientific Study,Consistent,248,1.209
1,3,3,Grades,Episodic Evidence,Inconsistent,248,1.209
3,4,4,Grades,Scientific Study,Inconsistent,250,1.101
3,4,4,Signalling,Episodic Evidence,Consistent,250,1.101
3,4,3,Retention,Scientific Study,Consistent,251,1.209
3,4,3,Signalling,Episodic Evidence,Consistent,251,1.209
3,4,3,Retention,Scientific Study,Inconsistent,252,0.925
3,4,3,Grades,Episodic Evidence,Inconsistent,252,0.925
2,3,4,Retention,Episodic Evidence,Inconsistent,253,2.088
3,3,4,Grades,Scientific Study,Inconsistent,253,2.088
4,4,4,Signalling,Scientific Study,Consistent,254,0.851
3,4,4,Retention,Episodic Evidence,Consistent,254,0.851
3,3,4,Integration,Scientific Study,Inconsistent,255,0.75
3,3,4,Signalling,Episodic Evidence,Consistent,255,0.75
4,5,4,Integration,Episodic Evidence,Consistent,256,0.744
4,5,4,Signalling,Scientific Study,Inconsistent,256,0.744
1,3,3,Retention,Episodic Evidence,Inconsistent,257,0.744
2,3,3,Grades,Scientific Study,Inconsistent,257,0.744
3,4,4,Integration,Episodic Evidence,Inconsistent,258,1.101
3,4,4,Retention,Scientific Study,Inconsistent,258,1.101
NA,4,4,Grades,Episodic Evidence,Inconsistent,259,1.143
NA,4,4,Signalling,Scientific Study,Consistent,259,1.143
3,4,4,Retention,Scientific Study,Inconsistent,260,1.209
3,4,4,Signalling,Episodic Evidence,Inconsistent,260,1.209
2,4,3,Retention,Episodic Evidence,Inconsistent,261,1.504
4,4,3,Integration,Scientific Study,Inconsistent,261,1.504
3,5,3,Signalling,Scientific Study,Consistent,262,0.842
1,5,3,Grades,Episodic Evidence,Inconsistent,262,0.842
NA,4,2,Signalling,Scientific Study,Inconsistent,263,0.842
1,4,2,Integration,Episodic Evidence,Consistent,263,0.842
3,4,3,Signalling,Episodic Evidence,Inconsistent,264,1.205
3,4,3,Integration,Scientific Study,Consistent,264,1.205
3,4,1,Signalling,Scientific Study,Consistent,265,0.421
NA,4,1,Integration,Episodic Evidence,Inconsistent,265,0.421
2,4,3,Signalling,Episodic Evidence,Inconsistent,266,0.922
4,4,3,Grades,Scientific Study,Consistent,266,0.922
4,4,4,Grades,Scientific Study,Inconsistent,267,1.16
3,4,4,Retention,Episodic Evidence,Inconsistent,267,1.16
5,4,3,Integration,Episodic Evidence,Consistent,268,0.651
3,4,3,Retention,Scientific Study,Consistent,268,0.651
4,3,3,Integration,Episodic Evidence,Inconsistent,269,0.615
4,3,3,Signalling,Scientific Study,Consistent,269,0.615
4,4,4,Grades,Scientific Study,Consistent,270,0.925
4,4,4,Signalling,Episodic Evidence,Inconsistent,270,0.925
NA,4,4,Integration,Scientific Study,Consistent,271,1.16
3,4,4,Retention,Episodic Evidence,Consistent,271,1.16
4,5,4,Grades,Episodic Evidence,Consistent,274,1.205
4,5,4,Retention,Scientific Study,Consistent,274,1.205
NA,4,4,Grades,Episodic Evidence,Inconsistent,275,1.139
3,4,4,Integration,Scientific Study,Consistent,275,1.139
2,3,3,Grades,Episodic Evidence,Consistent,276,1.16
NA,3,3,Signalling,Scientific Study,Inconsistent,276,1.16
3,4,4,Integration,Scientific Study,Inconsistent,277,1.209
3,4,4,Grades,Episodic Evidence,Consistent,277,1.209
3,3,3,Signalling,Episodic Evidence,Consistent,278,1.209
3,3,3,Integration,Scientific Study,Inconsistent,278,1.209
3,3,3,Grades,Scientific Study,Inconsistent,282,1.596
3,3,3,Integration,Episodic Evidence,Consistent,282,1.596
3,4,2,Retention,Scientific Study,Inconsistent,283,2.056
3,4,2,Grades,Episodic Evidence,Inconsistent,283,2.056
4,4,3,Integration,Scientific Study,Consistent,284,0.796
4,4,3,Retention,Episodic Evidence,Consistent,284,0.796
3,5,4,Integration,Scientific Study,Inconsistent,286,1.101
2,5,4,Retention,Episodic Evidence,Inconsistent,286,1.101
